x;y
20.3211;18.4679
20.3207;18.4564
20.2964;18.5008
20.0326;18.7529
19.0004;19.8554
18.919;19.9217
18.7075;20.1659
18.5674;20.2974
16.9797;22.0054
16.8082;22.1711
14.6188;24.5435
14.5216;24.6325
14.3832;24.7991
14.3588;24.8103
14.2197;24.976
13.633;25.5963
13.0462;26.2498
12.9645;26.3162
12.8992;26.4046
12.8008;26.4925
12.7355;26.5812
12.7111;26.5923
12.2376;27.1224
12.2134;27.1338
12.0087;27.3767
11.9841;27.3876
11.8292;27.5765
11.6656;27.7418
11.6009;27.8302
10.4562;29.0899
9.89225;29.7413
9.55604;30.094
8.95017;30.7897
8.72069;31.0322
8.64744;31.1321
8.19719;31.6286
8.16516;31.6844
7.55227;32.3925
5.73373;34.4739
5.1814;35.1295
4.92075;35.4068
3.83545;36.6807
3.55986;37.0247
3.22499;37.39
2.23501;38.5742
1.39385;39.5368
1.02721;39.9696
0.994978;40.0251
0.765053;40.278
-0.320155;41.5643
-1.46853;42.9835
-1.86665;43.4412
-1.94021;43.548
-2.56657;44.257
-3.09611;44.7547
-3.52955;45.1058
-3.96963;45.402
-4.30827;45.5924
-4.42194;45.6343
-4.85706;45.8497
-4.9444;45.8734
-5.25047;46.0093
-5.73362;46.1605
-5.78546;46.1888
-6.41668;46.3284
-6.84728;46.3756
-7.52196;46.3883
-7.85891;46.3752
-8.523;46.3018
-8.78035;46.2533
-8.83282;46.2256
-9.102;46.1618
-9.15455;46.1313
-9.3718;46.0803
-10.0038;45.853
-10.4116;45.6804
-11.1519;45.3009
-11.1787;45.2715
-11.6137;45.0228
-12.2838;44.5936
-12.318;44.585
-12.9824;44.1277
-13.1259;44.0463
-14.7136;42.8949
-15.7303;42.1128
-15.9506;41.926
-16.279;41.6856
-17.8014;40.4547
-18.9484;39.5661
-19.0389;39.479
-19.9368;38.7634
-20.6989;38.182
-22.6004;36.6289
-24.6154;34.9008
-24.7203;34.7893
-25.1041;34.4577
-25.8252;33.8628
-27.2641;32.6025
-27.7295;32.2156
-27.8436;32.1041
-27.9909;31.994
-28.0974;31.8837
-28.6891;31.3821
-29.707;30.4542
-30.1315;30.0153
-30.5036;29.574
-30.81;29.1665
-31.1091;28.6784
-31.4256;28.0289
-31.5886;27.5883
-31.7469;27.0553
-31.8634;26.4676
-31.9282;25.675
-31.9358;25.3874
-31.9214;24.9066
-31.8597;24.3061
-31.7945;23.862
-31.714;23.4264
-31.5829;22.8842
-31.3201;21.9673
-31.0528;21.2653
-30.4908;20.0363
-30.4045;19.8982
-29.9215;18.9492
-29.8769;18.9144
-29.7079;18.6849
-29.346;18.0782
-28.7775;17.2409
-28.4529;16.7313
-28.4314;16.6747
-28.311;16.5323
-26.4403;13.6791
-25.2704;11.9881
-24.924;11.5244
-24.6818;11.2301
-24.3746;10.8965
-24.2198;10.7554
-24.2085;10.728
-23.7431;10.3237
-23.2687;10.0019
-23.1046;9.91869
-22.975;9.83167
-22.5784;9.63633
-22.0409;9.42918
-21.5444;9.2823
-21.4697;9.27815
-21.3639;9.24535
-21.2041;9.22866
-21.0743;9.19614
-20.9663;9.1947
-20.638;9.14852
-19.9152;9.11387
-19.1817;9.16679
-18.68;9.25998
-18.0953;9.41649
-17.5393;9.6258
-17.0667;9.85193
-17.0473;9.8792
-16.8713;9.96277
-16.7513;10.0488
-16.6507;10.0966
-16.0158;10.5162
-15.3255;11.0179
-14.4839;11.6877
-13.7809;12.2754
